BASE	ACTUAL	PREDICT	COUNTRY	REGION	DIVISION	PRODTYPE	PRODUCT	QUARTER	YEAR	MONTH	STATE	COUNTY	MONYR	DATE
1	$925.00	$850.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	1	1993	Jan				
1	$999.00	$297.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	1	1993	Feb				
1	$608.00	$846.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	1	1993	Mar				
1	$642.00	$533.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	2	1993	Apr				
1	$656.00	$646.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	2	1993	May				
1	$948.00	$486.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	2	1993	Jun				
1	$612.00	$717.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	3	1993	Jul				
1	$114.00	$564.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	3	1993	Aug				
1	$685.00	$230.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	3	1993	Sep				
1	$657.00	$494.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	4	1993	Oct				
1	$608.00	$903.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	4	1993	Nov				
1	$353.00	$266.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	4	1993	Dec				
1	$107.00	$190.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	1	1994	Jan				
1	$354.00	$139.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	1	1994	Feb				
1	$101.00	$217.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	1	1994	Mar				
1	$553.00	$560.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	2	1994	Apr				
1	$877.00	$148.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	2	1994	May				
1	$431.00	$762.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	2	1994	Jun				
1	$511.00	$457.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	3	1994	Jul				
1	$157.00	$532.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	3	1994	Aug				
