total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee
435.17,0,117.08,1.11
1943.08,0,0,0
185.02,0,0,0
1902.56,0,0,0
1536.31,0,0,0
0,0,0,0
523.54,0,0,0
4317.69,0,0,0
714.59,0,0,0
1848.94,0,0,0
1357.2,0,0,0
1125.28,0,0,0
4199.67,0,0,0
1226.89,0,0,0
696.99,0,107,1.07
282.67,0,0,0
4876.1,0,0,0
1979.33,0,0,0
2252.27,14.98883533,0,0
2429.23,1,847.3,152.514
2742.43,0,22.5,0
3562.4,0,0,0
699.48,0,0,0
1001.53,0,0,0
8003.76,23.78149961,0,0
2443.16,0,0,0
430.3,0,0,0
1449.39,0,0,0
407.8,0,0,0
1985.68,0,0,0
932.3,0,0,0
334.66,0,0,0
2022.71,0,0,0
577.88,0,0,0
3145.08,36.24699818,229.06,2.2906
1434.78,0,0,0
1264.01,0,0,0
8008.11,28.76,2010.58,361.9044
2698.78,0,641.29,6.412899997
904.24,0,0,0
29.9,0,0,0
1027.3,0,0,0
976.85,0,626.5,6.265000001
593.07,0,0,0
6277.26,0,0,0
999.43,0,0,0
1388.86,0,319.46,57.5028
6394.08,0,0,0
2991.53,0,0,0
3521.1,0,0,0
4143.86,0,0,0
1519.7,0,0,0
337.11,0,0,0
2011.75,0,459.53,4.4878
1737.71,0,0,0
1200.08,0,0,0
3923.4,0,1084.71,40.78310001
3238.39,0,15.16,5.64
3059.76,0,0,0
2801.55,0,0,0
3836.18,0,0,0
411.15,0,0,0
1450.08,0,0,0
3861.58,0,0,0
1931.92,0,460.64,4.64
2571.27,0,0,0
1322.55,0,0,0
862.5,0,0,0
7570.12,0,0,0
4391.9,0,1284.25,12.27
1790.2,0,883.68,156.0204
21.6,0,0,0
2393.62,0,0,0
1505.13,0,333.11,3.1464
3023.19,0,0,0
9072.21,0,0,0
1225.26,0,0,0
498.22,0,150.58,1.55
671.27,0,0,0
306.47,0,0,0
550.37,0,0,0
761.93,0,0,0
2006.68,0,0,0
1564.56,0,516.32,5.0436
1236.33,0,0,0
78.87,0,0,0
3678.41,0,1517.32,15.1732
248.58,0,651.01,117.1818
80.09,0,0,0
2432.92,0,0,0
1354.43,0,0,0
7422.22,0,0,0
1622.89,0,0,0
1715.46,0,0,0
554.01,0,0,0
1143.7,0,0,0
3282.31,0,0,0
7790.84,0,1954.88,19.5488
1205.83,0,0,0
401.62,0,0,0
2405.39,0,1024.88,9.89
207.71,0,0,0
13163.79,0,0,0
5041.23,0,0,0
2862.99,0,0,0
2173.49,0,0,0
1580.45,0,1032.31,10.25
1448.21,14.98115669,0,0
6108.43,0,0,0
1247.69,0,0,0
2882.78,0,0,0
280.25,0,0,0
745.84,0,0,0
3829.1,0,0,0
1577.85,0,0,0
3094.27,0,0,0
1175.28,0,0,0
1398.55,0,0,0
1609.96,0,0,0
13185.27,32.45,0,0
3033.33,0,0,0
327.43,0,254.92,2.82
1332.1,0,0,0
3242.02,0,0,0
1387.55,0,0,0
2359.38,0,0,0
7890.3,0,0,0
524.94,0,0,0
3171.06,0,0,0
2018.65,0,0,0
2113.71,0,0,0
11853.15,0,0,0
1915.33,0,0,0
1823.1,0,0,0
1767.17,0,0,0
863.77,0,0,0
191.27,0,68.75,0.65
1227.5,0,0,0
5560.63,0,0,0
3039.1,0,0,0
1263.48,0,0,0
657.23,0,408.75,3.88
1080.11,0,0,0
1597.27,0,0,0
18875.68,0,0,0
7667.87,0,1525.73,268.0326
2881.17,15,0,0
986.37,0,0,0
1892.95,0,0,0
681.92,0,0,0
300.29,0,0,0
1053.38,0,0,0
1871.42,0,0,0
6488.23,0,0,0
634.25,0,0,0
2613.83,0,571.11,5.67
857.06,0,0,0
152.93,0,0,0
417.88,0,189.44,1.894400001
2151.78,0,0,0
1787.7,0,0,0
742.42,0,0,0
376.57,0,0,0
3109.12,0,0,0
5956.2,0,0,0
2725.93,0,0,0
371.65,0,0,0
1688.52,0,916.96,9.1696
923.71,0,0,0
6753.3,0,0,0
1367.3,0,0,0
362.51,0,0,0
1325.89,0,0,0
2756.92,0,0,0
4638.92,0,0,0
2266.76,0,43.53,0
2347.22,0,0,0
952.78,0,0,0
2933.35,0,0,0
1853.48,0,654.02,6.26
799.14,0,0,0
2240.36,0,0,0
174.03,0,104.03,1.040299999
2558.67,0,0,0
3340.52,0,0,0
4940.65,0,0,0
3978.4,0,0,0
2049.17,0,784.14,8.02
1206.96,0,0,0
1679.89,0,0,0
1490.13,0,491.18,4.87
479.27,0,0,0
362.58,0,0,0
1099.28,0,0,0
6254.46,0,0,0
3792.45,0,0,0
1232.78,0,0,0
1522.45,0,0,0
319.84,0,0,0
300.5,0,0,0
4871.13,0,0,0
452.34,0,0,0
1486.98,0,271.12,2.74
2302.86,0,0,0
4602.6,0,1482.67,23.01070001
7790.66,0,0,0
756.73,0,0,0
1036.06,0,0,0
1004.18,0,0,0
2070.56,0,0,0
555.13,0,0,0
2090.11,0,0,0
4058.57,0,0,0
2472.92,0,0,0
2168.26,0,0,0
2124.3,0,1607.65,289.377
2654.13,0,0,0
1476.41,0,0,0
1673.71,0,0,0
1849.55,0,0,0
6646.9,0,0,0
16222.03,0,0,0
541.16,0,0,0
8075.81,0,0,0
6725.29,0,0,0
1458.36,0,0,0
972.78,0,0,0
282.78,0,130.88,1.28
568.34,0,0,0
942.88,0,0,0
1911.02,0,0,0
1320.69,0,0,0
2062.01,0,0,0
1724.91,0,0,0
3906.94,0,0,0
5462.04,0,0,0
6998.98,0,0,0
3712.14,0,0,0
1200.86,0,0,0
6865.94,0,0,0
3272.98,0,0,0
1918.78,0,0,0
2001.3,0,0,0
1868.85,0,0,0
1991.37,0,0,0
2559.22,0,0,0
547.09,0,549.4,5.39
1625.73,0,0,0
7038.79,0,0,0
797.75,0,0,0
713.85,0,0,0
2859.45,0,0,0
2107,0,0,0
1713.21,0,0,0
5768.5,0,0,0
350.45,0,0,0
1371.81,0,0,0
3026.31,0,0,0
3445.67,0,0,0
861.57,0,0,0
3518.65,0,0,0
6114.33,0,0,0
784.64,0,0,0
8813.03,0,0,0
2730.3,0,803.37,7.651299999
11323.83,0,0,0
1106.97,0,0,0
4233.36,0,15.41,0
2512.07,0,0,0
2425.39,0,0,0
662.43,0,0,0
3457.01,0,0,0
949.46,0,0,0
1715.33,0,0,0
5176.94,0,0,0
10526.46,0,0,0
2397.23,0,0,0
576.37,0,0,0
3157.51,0,0,0
562.85,0,0,0
11856.46,0,0,0
3210.62,0,864.82,8.485400002
3821.84,0,0,0
1846.6,0,0,0
1942.95,0,0,0
3745.25,0,0,0
6468.22,0,0,0
403.26,0,0,0
1715.17,0,0,0
1253.89,0,0,0
2135.5,0,0,0
1492.09,0,1219.67,219.5406
4898.87,0,0,0
1050.65,0,0,0
6818.29,0,0,0
3033.33,0,0,0
1843.61,0,0,0
420.5,0,0,0
4191.28,0,1773.4,24.216
2040.05,0,0,0
2837.1,0,0,0
2285.19,14.98341594,0,0
5747.44,0,1957.38,19.4083
378.32,0,0,0
909.89,0,0,0
151.3,0,0,0
5372.31,0,0,0
2740.67,0,0,0
365.85,0,0,0
531.54,0,0,0
4112.29,0,0,0
1520.01,0,536.87,4.7
6845.99,0,0,0
612.8,15,0,0
399.47,0,0,0
1058.95,0,0,0
401.74,0,0,0
1864.59,0,0,0
7246.53,0,0,0
240.82,0,0,0
608.82,0,0,0
1054.96,0,0,0
510.69,0,201.63,2.14
9179.12,0,0,0
10110.99,0,0,0
5337.41,0,0,0
1612.31,0,0,0
1977.8,0,0,0
6851.03,0,3518.98,608.339
9657.58,0,0,0
5132.88,0,733.56,128.0574
11589.25,0,0,0
2873.38,0,0,0
3819.43,0,0,0
253.72,0,0,0
2352.68,0,0,0
5748.96,0,0,0
134.86,0,0,0
145.84,0,89.06,0.9
3710.9,0,0,0
5541.92,0,0,0
7111.84,0,0,0
8966.85,0,0,0
1705.17,0,160.64,1.6064
1101.6,0,0,0
2675.49,0,0,0
8735.22,0,3490.18,628.2324
1147.69,0,0,0
1671.34,0,0,0
718.93,0,301.76,3.22
739.9,0,0,0
839.66,0,0,0
783.47,0,0,0
465.24,0,0,0
7384.91,0,0,0
2298.63,0,0,0
2275.15,0,0,0
10782.88,26.13150368,0,0
2071.68,0,0,0
3842.3,0,0,0
7578.07,0,0,0
951.37,0,0,0
7453.72,0,1839.41,18.2331
845.93,28.75536418,856.08,8.21
1357.61,0,360.75,3.55
1799.51,0,0,0
2450.36,0,0,0
4760.13,0,0,0
751.3,0,0,0
797.88,0,149.72,1.55
1522.09,0,0,0
376,0,194,1.81
1917.47,0,0,0
2115.67,0,0,0
3267.46,0,0,0
2063.98,0,0,0
685.18,0,0,0
3102.7,0,0,0
443.31,0,0,0
384.6,0,0,0
857.26,0,0,0
20487.04,0,0,0
2266,0,0,0
958.96,0,0,0
2601.55,0,990.25,9.700000002
1852.71,0,0,0
2422.94,0,0,0
2473.98,0,0,0
1434.51,0,0,0
1985.4,0,0,0
3341.86,65.88676356,0,0
2924.42,0,0,0
1984.12,17.2,0,0
1000.59,0,0,0
754.36,0,0,0
8195.85,0,0,0
1077.44,0,0,0
2929.98,0,0,0
631.47,0,0,0
7830.06,0,0,0
3426.63,0,0,0
276.39,0,0,0
9884.5,0,0,0
7194.78,0,2479.33,24.6442
560.7,0,252.17,2.45
338,0,0,0
1894.9,0,0,0
293.58,0,0,0
3127.35,0,0,0
4547.36,0,18.72,3.369600005
633.57,0,0,0
1051.34,0,0,0
3382.32,0,0,0
3246.99,0,0,0
2333.58,0,0,0
184.91,0,0,0
1619.29,0,0,0
2634.64,0,0,0
2982.64,0,0,0
154.66,0,0,0
4536.61,0,0,0
7897.57,0,0,0
2289.86,0,0,0
7918.2,0,0,0
1018.31,0,0,0
76.32,0,0,0
5084.34,0,0,0
227.82,0,0,0
648.95,0,0,0
8423.8,0,0,0
897.78,0,0,0
1026.7,0,0,0
387.69,0,204.29,2.042899999
3066.65,0,670.35,6.703499998
1137.31,0,0,0
2112.02,0,0,0
1288.5,0,572.85,5.62
11911.14,0,0,0
1433.63,0,0,0
7778.83,0,0,0
1421,0,0,0
